data, time, palabras encontradas, palabras no encontradas
data/1024-0.csv,0.443231,0,9
data/1024-1-4.csv,6.69243,256,6
data/1024-1-2.csv,13.5009,512,3
data/1024-3-4.csv,18.943,768,2
data/1024-1.csv,25.781,1024,0
data/4096-0.csv,1.28327,0,26
data/4096-1-4.csv,26.2784,1024,22
data/4096-1-2.csv,51.9198,2048,15
data/4096-3-4.csv,76.6444,3072,4
data/4096-1.csv,100.34,4096,0
data/16384-0.csv,5.49032,0,111
data/16384-1-4.csv,105.694,4096,75
data/16384-1-2.csv,203.268,8192,53
data/16384-3-4.csv,305.307,12288,25
data/16384-1.csv,406.163,16384,0
data/65536-0.csv,20.5849,0,416
data/65536-1-4.csv,418.775,16384,294
data/65536-1-2.csv,829.462,32768,199
data/65536-3-4.csv,1222.15,49152,103
data/65536-1.csv,1624.57,65536,0
