data, time, palabras encontradas, palabras no encontradas
1024-0.csv,0.0078203,0,0
1024-1-4.csv,6.65668,256,1
1024-1-2.csv,13.9215,512,3
1024-3-4.csv,19.3644,768,0
1024-1.csv,26.5997,1024,0
4096-0.csv,0.319552,0,6
4096-1-4.csv,26.1302,1024,3
4096-1-2.csv,52.7431,2048,1
4096-3-4.csv,78.8503,3072,2
4096-1.csv,103.174,4096,0
16384-0.csv,1.29013,0,25
16384-1-4.csv,106.059,4096,17
16384-1-2.csv,208.13,8192,20
16384-3-4.csv,313.784,12288,7
16384-1.csv,419.246,16384,0
65536-0.csv,4.81583,0,93
65536-1-4.csv,422.926,16384,79
65536-1-2.csv,830.77,32768,58
65536-3-4.csv,1254.83,49152,31
65536-1.csv,1684.62,65536,0
